ID,名称,属性,LV,Cost,HP,耐弾,耐ビ,耐格,射補,格補,スピ,高速移動,スラ,旋回地上,旋回宇宙,再出撃時間,スロ近,スロ中,スロ遠,"格闘判定力(0,1,2)",盾,装飾,IMG
MSR01901,ジム・コマンドLA,強襲,1,300,10000,8,12,10,10,20,130,195,60,60,66.9,10,9,7,4,2,1,0,MSR01901.png
MSR01902,ジム・コマンドLA,強襲,2,350,11500,10,14,12,12,25,130,195,60,60,66.9,10,11,8,5,2,1,0,MSR01901.png
MSR02001,ジム・ストライカー,強襲,1,300,12000,15,9,16,5,25,125,185,68,72,-1,10,13,5,2,2,2,0,MSR02001.png
MSR02002,ジム・ストライカー,強襲,2,350,14000,17,11,18,5,33,130,190,68,72,-1,10,15,7,2,2,2,0,MSR02001.png
MSR02003,ジム・ストライカー,強襲,3,400,16000,19,13,20,5,40,135,195,68,72,-1,10,17,10,5,2,2,0,MSR02001.png
MSR02004,ジム・ストライカー,強襲,4,450,18000,21,15,22,5,47,125,185,68,72,-1,10,19,13,6,2,2,0,MSR02001.png
MSR02101,ズゴック,強襲,1,300,14500,10,11,24,0,30,130,190,60,66,-1,10,15,6,3,2,0,0,MSR02101.png
MSR02102,ズゴック,強襲,2,350,16500,12,13,26,0,35,130,190,60,66,-1,10,16,8,5,2,0,0,MSR02101.png
MSR02103,ズゴック,強襲,3,400,18500,14,15,28,0,40,130,190,60,66,-1,10,18,11,7,2,0,0,MSR02101.png
MSR02104,ズゴック,強襲,4,450,20500,16,17,30,0,45,130,190,60,66,-1,10,20,13,9,2,0,0,MSR02101.png
MSR02201,マ・クベ専用グフ,強襲,1,300,16000,0,0,30,0,30,125,200,60,75,-1,10,10,7,3,1,1,0,MSR02201.png
MSR02202,マ・クベ専用グフ,強襲,2,350,18000,0,0,36,0,37,125,200,60,75,-1,10,12,8,4,1,1,0,MSR02201.png
MSR02301,アッグジン,強襲,1,350,16000,8,13,15,10,25,130,195,55,66,75,12,3,13,8,2,0,0,MSR02301.png
MSR02401,イフリート改,強襲,1,350,13000,13,13,20,0,35,130,210,45,60,-1,12,16,6,2,2,0,0,MSR02401.png
MSR02402,イフリート改,強襲,2,400,14500,15,15,22,0,40,130,210,45,60,-1,12,18,7,3,2,0,0,MSR02401.png
MSR02403,イフリート改,強襲,3,450,16000,17,17,24,0,45,130,210,45,60,-1,12,19,9,4,2,0,0,MSR02401.png
MSR02404,イフリート改,強襲,4,500,18500,19,19,26,0,50,130,210,45,60,-1,12,22,10,4,2,0,0,MSR02401.png
MSR02501,イフリート・ナハト,強襲,1,350,12000,10,10,26,5,30,135,215,60,72,-1,12,14,8,2,2,0,0,MSR02501.png
MSR02502,イフリート・ナハト,強襲,2,400,13000,12,12,28,7,33,135,215,60,72,-1,12,16,9,3,2,0,0,MSR02501.png
MSR02503,イフリート・ナハト,強襲,3,450,14000,14,14,30,9,36,135,215,60,72,-1,12,18,10,4,2,0,0,MSR02501.png
MSR02504,イフリート・ナハト,強襲,4,500,15000,16,16,32,11,45,135,215,60,72,-1,12,20,11,5,2,0,0,MSR02501.png
MSR02601,グフ・カスタム,強襲,1,350,13000,19,14,18,23,20,135,195,70,66,-1,12,14,9,4,2,1,0,MSR02601.png
MSR02602,グフ・カスタム,強襲,2,400,14500,21,16,20,26,28,135,195,70,66,-1,12,15,11,6,2,1,0,MSR02601.png
MSR02603,グフ・カスタム,強襲,3,450,16000,23,18,22,29,36,135,195,70,66,-1,12,17,13,7,2,1,0,MSR02601.png
MSR02604,グフ・カスタム,強襲,4,500,17500,25,20,29,32,44,135,195,70,66,-1,12,18,16,8,2,1,0,MSR02601.png
MSR02605,グフ・カスタム,強襲,5,550,19000,27,22,31,35,52,135,195,70,66,-1,12,20,18,9,2,1,0,MSR02601.png
MSR02701,グフ・ホバータイプ,強襲,1,350,14500,13,11,18,3,32,140,205,65,66,-1,12,14,7,3,2,0,0,MSR02701.png
MSR02801,ゲルググG,強襲,1,350,15000,13,5,18,18,17,135,200,50,69,-1,12,11,9,4,2,1,0,MSR02801.png
MSR02802,ゲルググG,強襲,2,400,17000,15,6,21,22,20,135,200,50,69,-1,12,13,10,5,2,1,0,MSR02801.png
MSR02901,ジム・ストライカー改,強襲,1,350,13000,17,10,24,5,30,130,205,60,-1,64,12,16,6,2,2,2,0,MSR02901.png
MSR02902,ジム・ストライカー改,強襲,2,400,14500,21,14,28,7,33,130,205,60,-1,64,12,18,7,3,2,2,0,MSR02901.png
MSR02903,ジム・ストライカー改,強襲,3,450,15500,23,16,30,9,36,130,205,60,-1,64,12,18,8,6,2,2,0,MSR02901.png
MSR03001,ドム高速実験型,強襲,1,350,14500,19,19,8,2,33,145,215,65,63,-1,12,15,7,2,2,0,0,MSR03001.png
MSR03002,ドム高速実験型,強襲,2,400,16500,21,21,10,5,35,145,215,65,63,-1,12,17,8,3,2,0,0,MSR03001.png
MSR03003,ドム高速実験型,強襲,3,450,18000,23,23,12,8,37,145,215,65,63,-1,12,19,9,4,2,0,0,MSR03001.png
MSR03004,ドム高速実験型,強襲,4,500,19000,25,25,14,11,39,145,215,65,63,-1,12,21,10,5,2,0,0,MSR03001.png
MSR03101,ハイブースト・ジム,強襲,1,350,15000,11,10,15,8,27,130,215,65,63,72,12,11,8,5,2,0,0,MSR03101.png
MSR03102,ハイブースト・ジム,強襲,2,400,16500,13,12,17,11,31,130,215,65,63,72,12,13,9,6,2,0,0,MSR03101.png
MSR03201,ブルーディスティニー1号機,強襲,1,350,12500,11,15,20,10,30,130,210,45,60,-1,12,14,7,3,2,2,0,MSR03201.png
MSR03202,ブルーディスティニー1号機,強襲,2,400,14000,13,17,22,15,38,130,210,45,60,-1,12,17,9,6,2,2,0,MSR03201.png
MSR03203,ブルーディスティニー1号機,強襲,3,450,15500,15,19,24,20,46,130,210,45,60,-1,12,18,11,8,2,2,0,MSR03201.png
MSR03204,ブルーディスティニー1号機,強襲,4,500,17000,17,21,26,25,54,130,210,45,60,-1,12,20,13,9,2,2,0,MSR03201.png
MSR03301,プロトタイプガンダム,強襲,1,350,14000,12,10,14,5,30,135,195,55,60,60,12,15,6,3,2,0,0,MSR03301.png
MSR03302,プロトタイプガンダム,強襲,2,400,15500,14,12,16,7,33,135,195,55,60,60,12,17,7,4,2,0,0,MSR03301.png
MSR03303,プロトタイプガンダム,強襲,3,450,17000,16,14,19,9,36,135,195,55,60,60,12,19,8,5,2,0,0,MSR03301.png
MSR03304,プロトタイプガンダム,強襲,4,500,18500,22,20,24,11,39,135,195,55,60,60,12,21,10,5,2,0,0,MSR03301.png
MSR03401,ホビー・ハイザック,強襲,1,350,15000,14,14,20,16,19,135,195,60,63,72,12,15,6,3,2,0,0,MSR03401.png
MSR03402,ホビー・ハイザック,強襲,2,400,16500,16,16,22,19,23,135,195,60,63,72,12,16,7,5,2,0,0,MSR03401.png
MSR03501,ラムズゴック,強襲,1,350,16000,14,14,21,15,20,130,195,65,69,-1,12,16,5,3,2,0,0,MSR03501.png
MSR03502,ラムズゴック,強襲,2,400,17500,16,16,23,17,25,130,195,65,69,-1,12,18,6,4,2,0,0,MSR03501.png
MSR03601,陸戦型ガンダム［ジム頭］,強襲,1,350,15000,14,8,14,17,18,125,180,60,60,-1,12,11,8,5,2,2,0,MSR03601.png
MSR03701,陸戦高機動型ザク（AS）,強襲,1,350,13500,14,10,12,11,24,130,190,65,63,-1,12,15,6,3,2,0,0,MSR03701.png
MSR03702,陸戦高機動型ザク（AS）,強襲,2,400,15000,16,12,14,13,29,130,190,65,63,-1,12,17,7,4,2,0,0,MSR03701.png
MSR03801,アクト・ザク［指揮官仕様］,強襲,1,400,16000,10,10,22,10,30,135,210,60,72,75,13,12,13,3,2,0,0,MSR03801.png
MSR03802,アクト・ザク［指揮官仕様］,強襲,2,450,18000,12,12,24,12,33,135,210,60,72,75,13,13,15,4,2,0,0,MSR03801.png
MSR03803,アクト・ザク［指揮官仕様］,強襲,3,500,20000,14,14,26,14,40,135,210,60,72,75,13,15,16,5,2,0,0,MSR03801.png
MSR03804,アクト・ザク［指揮官仕様］,強襲,4,550,22000,20,20,28,16,47,135,210,60,72,75,13,17,17,6,2,0,0,MSR03801.png
MSR03805,アクト・ザク［指揮官仕様］,強襲,5,600,24000,22,22,30,18,54,135,210,60,72,75,13,19,18,7,2,0,0,MSR03801.png
MSR03901,ガンダムピクシー,強襲,1,400,12000,12,10,20,5,35,135,225,55,72,-1,13,16,10,2,2,0,0,MSR03901.png
MSR03902,ガンダムピクシー,強襲,2,450,12250,14,12,22,5,40,135,225,55,72,-1,13,19,12,4,2,0,0,MSR03901.png
MSR03903,ガンダムピクシー,強襲,3,500,13750,16,14,24,5,45,135,225,55,72,-1,13,21,14,5,2,0,0,MSR03901.png
MSR03904,ガンダムピクシー,強襲,4,550,15250,18,16,26,5,50,135,225,55,72,-1,13,24,16,8,2,0,0,MSR03901.png
MSR03905,ガンダムピクシー,強襲,5,600,16750,20,18,28,5,55,135,225,55,72,-1,13,25,16,8,2,0,0,MSR03901.png
MSR04001,ガンダムEz8［HMC］,強襲,1,400,16500,11,12,19,10,30,135,210,70,63,72,13,16,8,4,2,0,0,MSR04001.png
MSR04101,ギャン,強襲,1,400,16500,12,16,24,0,40,140,225,70,72,75,13,17,9,2,2,0,0,MSR04101.png
MSR04102,ギャン,強襲,2,450,18000,14,18,26,0,45,140,225,70,72,75,13,20,10,2,2,0,0,MSR04101.png
MSR04103,ギャン,強襲,3,500,19500,16,20,28,0,50,140,225,70,72,75,13,22,11,7,2,0,0,MSR04101.png
MSR04104,ギャン,強襲,4,550,21000,18,22,30,0,55,140,225,70,72,75,13,24,12,8,2,0,0,MSR04101.png
MSR04201,グフ・フライトタイプ,強襲,1,400,14000,13,13,26,15,30,140,205,70,66,-1,13,10,10,8,2,1,0,MSR04201.png
MSR04202,グフ・フライトタイプ,強襲,2,450,15000,15,15,28,18,33,140,205,70,66,-1,13,14,15,12,2,1,0,MSR04201.png
MSR04203,グフ・フライトタイプ,強襲,3,500,16000,17,17,30,21,36,140,205,70,66,-1,13,17,19,15,2,1,0,MSR04201.png
MSR04204,グフ・フライトタイプ,強襲,4,550,19000,19,19,32,24,39,140,205,70,66,-1,13,20,22,18,2,1,0,MSR04201.png
MSR04301,ゲルググM,強襲,1,400,15500,17,15,30,13,27,130,210,70,63,69.8,13,11,10,7,2,2,0,MSR04301.png
MSR04302,ゲルググM,強襲,2,450,16500,19,17,32,15,30,130,210,70,63,69.8,13,13,11,8,2,2,0,MSR04301.png
MSR04303,ゲルググM,強襲,3,500,17500,21,19,34,17,33,130,210,70,63,69.8,13,15,12,9,2,2,0,MSR04301.png
MSR04304,ゲルググM,強襲,4,550,18500,23,21,36,19,36,130,210,70,63,69.8,13,17,13,10,2,2,0,MSR04301.png
MSR04401,サイコミュ高機動試験機,強襲,1,400,15500,22,22,18,25,15,140,220,75,-1,60,13,10,8,10,2,0,0,MSR04401.png
MSR04402,サイコミュ高機動試験機,強襲,2,450,16500,24,24,20,28,17,140,220,75,-1,60,13,12,8,12,2,0,0,MSR04401.png
MSR04403,サイコミュ高機動試験機,強襲,3,500,17500,26,26,22,31,19,140,220,75,-1,60,13,14,8,14,2,0,0,MSR04401.png
MSR04501,ジム改陸戦型［CB装備］【TB】,強襲,1,400,18000,18,18,15,15,30,135,205,75,66,-1,13,10,10,8,2,0,0,MSR04501.png
MSR04502,ジム改陸戦型［CB装備］【TB】,強襲,2,450,19500,20,20,17,20,34,135,205,75,66,-1,13,12,11,9,2,0,0,MSR04501.png
MSR04601,ジム・クゥエル,強襲,1,400,14000,14,14,14,20,25,130,205,65,66,72.8,13,13,13,6,2,1,0,MSR04601.png
MSR04602,ジム・クゥエル,強襲,2,450,16000,16,16,16,23,28,135,205,70,66,72.8,13,15,15,7,2,1,0,MSR04601.png
MSR04603,ジム・クゥエル,強襲,3,500,18000,18,18,18,26,31,130,205,65,66,72.8,13,17,17,8,2,1,0,MSR04601.png
MSR04604,ジム・クゥエル,強襲,4,550,20000,20,20,20,29,34,130,205,65,66,72.8,13,19,19,9,2,1,0,MSR04601.png
MSR04701,ジム・スパルタン［BD隊仕様］,強襲,1,400,16000,16,9,17,5,35,130,195,60,66,-1,13,17,8,3,2,0,0,MSR04701.png
MSR04702,ジム・スパルタン［BD隊仕様］,強襲,2,450,18000,18,11,19,5,42,130,195,60,66,-1,13,19,9,4,2,0,0,MSR04701.png
MSR04801,ジムⅡ・セミストライカー,強襲,1,400,15750,14,14,20,10,30,130,205,60,66,63,13,15,10,3,2,0,0,MSR04801.png
MSR04802,ジムⅡ・セミストライカー,強襲,2,450,17250,16,16,22,11,34,130,205,60,66,63,13,16,12,4,2,0,0,MSR04801.png
MSR04901,ジュリック,強襲,1,400,21000,28,28,18,10,15,80,180,60,57,-1,13,14,9,5,2,0,0,MSR04901.png
MSR05001,ジーライン・アサルトアーマー,強襲,1,400,14500,15,15,22,20,20,115,190,65,54,55.3,13,13,11,4,2,2,0,MSR05001.png
MSR05002,ジーライン・アサルトアーマー,強襲,2,450,15500,17,17,24,22,23,115,190,65,54,55.3,13,15,12,5,2,2,0,MSR05001.png
MSR05003,ジーライン・アサルトアーマー,強襲,3,500,16500,19,19,26,24,26,115,190,65,54,55.3,13,17,13,6,2,2,0,MSR05001.png
MSR05004,ジーライン・アサルトアーマー,強襲,4,550,17500,21,21,28,26,29,115,190,65,54,55.3,13,19,14,7,2,2,0,MSR05001.png
MSR05101,ジーライン・ライトアーマー,強襲,1,400,12000,8,8,26,28,12,135,220,65,66,66.9,13,13,11,4,2,2,0,MSR05101.png
MSR05102,ジーライン・ライトアーマー,強襲,2,450,13000,10,10,28,31,14,135,220,65,66,66.9,13,15,12,5,2,2,0,MSR05101.png
MSR05103,ジーライン・ライトアーマー,強襲,3,500,14000,12,12,30,34,16,135,220,65,66,66.9,13,17,13,6,2,2,0,MSR05101.png
MSR05104,ジーライン・ライトアーマー,強襲,4,550,15000,14,14,32,37,18,135,220,65,66,66.9,13,19,14,7,2,2,0,MSR05101.png
MSR05201,ズゴックE,強襲,1,400,17000,13,13,26,10,30,130,200,60,66,-1,13,15,10,3,2,0,0,MSR05201.png
MSR05202,ズゴックE,強襲,2,450,19000,15,15,28,12,33,135,210,65,66,-1,13,18,13,5,2,0,0,MSR05201.png
MSR05203,ズゴックE,強襲,3,500,21000,17,17,30,14,36,130,200,60,66,-1,13,20,15,8,2,0,0,MSR05201.png
MSR05204,ズゴックE,強襲,4,550,23000,19,19,32,16,39,130,200,60,66,-1,13,22,17,11,2,0,0,MSR05201.png
MSR05301,デザート・ザク（DR）,強襲,1,400,17000,20,9,25,10,30,135,200,65,75,-1,13,12,10,6,2,0,0,MSR05301.png
MSR05401,ドム・レゾナンス【TB】,強襲,1,400,19000,20,14,20,15,25,145,200,60,60,-1,13,14,14,0,2,2,0,MSR05401.png
MSR05501,ドワッジ,強襲,1,400,19000,18,18,26,30,10,145,205,65,66,-1,13,12,14,2,2,0,0,MSR05501.png
MSR05502,ドワッジ,強襲,2,450,21000,20,20,28,33,12,145,205,65,66,-1,13,14,14,4,2,0,0,MSR05501.png
MSR05503,ドワッジ,強襲,3,500,23000,22,22,30,36,14,145,205,65,66,-1,13,16,15,5,2,0,0,MSR05501.png
MSR05504,ドワッジ,強襲,4,550,25000,24,24,32,39,16,145,205,65,66,-1,13,18,16,6,2,0,0,MSR05501.png
MSR05601,ブルーディスティニー2号機,強襲,1,400,14000,12,12,18,10,30,135,210,50,60,66.9,13,13,11,4,2,1,0,MSR05601.png
MSR05602,ブルーディスティニー2号機,強襲,2,450,15500,14,14,20,12,33,135,210,50,60,66.9,13,15,12,5,2,1,0,MSR05601.png
MSR05603,ブルーディスティニー2号機,強襲,3,500,17000,16,16,22,14,43,135,210,50,60,66.9,13,18,15,8,2,1,0,MSR05601.png
MSR05604,ブルーディスティニー2号機,強襲,4,550,19500,18,18,24,16,46,135,210,50,60,66.9,13,20,17,10,2,1,0,MSR05601.png
MSR05701,ペイルライダー・デュラハン,強襲,1,400,12000,12,12,18,20,20,115,200,65,57,52.4,13,12,9,7,2,1,0,MSR05701.png
MSR05702,ペイルライダー・デュラハン,強襲,2,450,13000,13,13,22,22,23,115,200,65,57,52.4,13,14,10,9,2,1,0,MSR05701.png
MSR05801,メタル・スパイダー,強襲,1,400,13000,10,14,18,20,20,135,200,60,66,75,13,12,10,6,2,0,0,MSR05801.png
MSR05901,リック・ドムⅡ（GH）,強襲,1,400,15000,13,23,26,10,20,135,205,60,-1,69,13,18,7,3,2,0,0,MSR05901.png
MSR05902,リック・ドムⅡ（GH）,強襲,2,450,17000,15,25,28,10,25,140,205,65,-1,69,13,20,8,4,2,0,0,MSR05901.png
MSR05903,リック・ドムⅡ（GH）,強襲,3,500,19000,17,27,30,10,30,135,205,60,-1,69,13,22,9,5,2,0,0,MSR05901.png
MSR05904,リック・ドムⅡ（GH）,強襲,4,550,21000,19,29,32,10,35,135,205,60,-1,69,13,24,10,6,2,0,0,MSR05901.png
MSR06001,レッドライダー,強襲,1,400,14000,10,10,22,0,40,130,215,60,72,-1,13,17,8,3,2,0,0,MSR06001.png
MSR06002,レッドライダー,強襲,2,450,15500,12,12,24,2,45,130,215,60,72,-1,13,19,9,4,2,0,0,MSR06001.png
MSR06003,レッドライダー,強襲,3,500,17000,14,14,26,4,50,130,215,60,72,-1,13,20,11,5,2,0,0,MSR06001.png
MSR06004,レッドライダー,強襲,4,550,18500,16,16,28,6,55,130,215,60,72,-1,13,21,13,6,2,0,0,MSR06001.png
MSR06101,アレックス［C・A装備］,強襲,1,450,15000,32,30,31,5,35,125,200,60,69,72,13,15,11,6,2,0,0,MSR06101.png
MSR06102,アレックス［C・A装備］,強襲,2,500,17000,34,32,33,7,40,125,200,60,69,72,13,16,13,7,2,0,0,MSR06101.png
MSR06201,ガンダム5号機,強襲,1,450,15500,16,16,26,34,20,130,200,60,63,69.8,13,16,13,7,2,1,0,MSR06201.png
MSR06202,ガンダム5号機,強襲,2,500,17000,18,18,28,38,22,130,200,60,63,69.8,13,18,14,9,2,1,0,MSR06201.png
MSR06203,ガンダム5号機,強襲,3,550,18500,20,20,30,42,24,130,200,60,63,69.8,13,20,15,11,2,1,0,MSR06201.png
MSR06204,ガンダム5号機,強襲,4,600,20000,22,22,32,46,26,130,200,60,63,69.8,13,22,16,13,2,1,0,MSR06201.png
MSR06801,グール,強襲,1,450,18000,20,20,20,0,35,140,205,65,78,-1,13,14,11,7,2,0,0,MSR06801.png
